Year,Host,MatchesPlayed,PenaltiesScored,PenaltiesAwarded,PenaltiesSaved,PenaltiesMissed
1930,Uruguay,18,1,4,3,0
1934,Italy,17,3,5,1,1
1938,France,18,3,5,1,1
1950,Brazil,22,3,3,0,0
1954,Switzerland,26,7,7,0,1
1958,Sweden,35,7,10,1,2
1962,Chile,32,8,8,0,0
1966,England,32,8,8,0,0
1970,Mexico,32,5,5,0,0
1974,Germany,38,6,8,2,0
1978,Argentian,38,12,14,2,0
1982,Spain,52,8,10,0,2
1986,Mexico,52,12,16,2,2
1990,Italy,52,13,18,3,2
1994,USA,52,15,15,0,0
1998,France,64,17,18,0,1
2002,KoreaJapan,64,13,18,5,0
2006,Germany,64,13,17,2,2
2010,South Africa,64,9,14,3,2
2014,Brazil,64,12,13,1,0
2018,Russia,64,22,29,4,3
