Player,MP,GmSc
Michael Jordan,50,64.6
Kobe Bryant,42,63.5
Karl Malone,33,60.2
David Thompson,43,57
James Harden,46,56.6
Michael Jordan,42,54.7
Devin Booker,45,54.5
Kevin McHale,41,54.3
Anthony Davis,43,53.9
LeBron James,43,53.2
James Harden,31,52.4
James Harden,44,52.2
David Robinson,44,51.8
Dominique Wilkins,40,51.6
Jimmy Butler,38,51.5
Michael Jordan,47,51.2
Michael Jordan,37,51.2
Kobe Bryant,50,50.9
Carmelo Anthony,39,50.6
Giannis Antetokounmpo,36,50.4
Reggie Miller,38,50.4
Amar'e Stoudemire,44,50.2
Anthony Davis,39,50.1
Tom Chambers,42,50
Rick Barry,44,49.7
Kobe Bryant,33,49.7
Michael Jordan,42,49.7
Charles Barkley,41,49.6
Willie Burton,43,49.6
Damian Lillard,38,49.6
Shaquille O'Neal,45,49.5
Stephen Curry,36,49.2
James Harden,35,49.2
Dwyane Wade,50,49
LeBron James,41,48.8
James Harden,42,48.7
Shaquille O'Neal,36,48.7
Adrian Dantley,45,48.6
Michael Jordan,42,48.6
Damian Lillard,42,48.6
Anthony Davis,39,48.5
James Harden,40,48.5
Allen Iverson,42,48.5
Damian Lillard,45,48.4
Kyrie Irving,47,48.2
Isiah Thomas,46,48.1
Dirk Nowitzki,50,48
David Robinson,40,48
Joel Embiid,34,47.9
Michael Jordan,41,47.9
Damian Lillard,31,47.9
Gilbert Arenas,49,47.8
Michael Jordan,41,47.8
Michael Jordan,38,47.7
Michael Jordan,43,47.6
Bernard King,43,47.5
Chris Paul,39,47.5
Dwyane Wade,41,47.5
Dominique Wilkins,37,47.4
Kobe Bryant,37,47.3
Adrian Dantley,45,47.3
James Harden,39,46.9
Michael Jordan,42,46.9
Joe Barry Carroll,42,46.8
James Harden,38,46.8
Damian Lillard,40,46.8
Karl Malone,43,46.8
LeBron James,43,46.7
Michael Jordan,41,46.7
Hakeem Olajuwon,44,46.7
Manu Ginóbili,41,46.6
David Robinson,41,46.6
Dominique Wilkins,42,46.6
Michael Jordan,43,46.5
Purvis Short,40,46.5
Kobe Bryant,34,46.3
James Harden,36,46.2
Karl Malone,43,46.2
Klay Thompson,29,46.2
Stephen Curry,48,46.1
Adrian Dantley,38,46.1
Deron Williams,38,46.1
Shareef Abdur-Rahim,45,46
James Harden,37,46
Antawn Jamison,53,46
Michael Jordan,44,46
Karl-Anthony Towns,41,46
Clyde Drexler,46,45.9
Kyrie Irving,32,45.9
Nikola Jokić,31,45.8
Michael Jordan,46,45.8
David Robinson,45,45.8
Dana Barros,42,45.6
Frank Johnson,32,45.6
Michael Jordan,38,45.6
Russell Westbrook,37,45.6
Larry Bird,39,45.5
Anthony Davis,33,45.4
David Robinson,45,45.4
Russell Westbrook,40,45.4
