Team,url
Arsenal,https://a.espncdn.com/i/teamlogos/soccer/500/359.png
Aston Villa,https://a.espncdn.com/i/teamlogos/soccer/500/362.png
Bournemouth,https://a.espncdn.com/i/teamlogos/soccer/500/349.png
Brighton,https://a.espncdn.com/i/teamlogos/soccer/500/331.png
Burnley,https://a.espncdn.com/i/teamlogos/soccer/500/379.png
Chelsea,https://a.espncdn.com/i/teamlogos/soccer/500/363.png
Crystal Palace,https://a.espncdn.com/i/teamlogos/soccer/500/384.png
Everton,https://a.espncdn.com/i/teamlogos/soccer/500/368.png
Leicester City,https://a.espncdn.com/i/teamlogos/soccer/500/375.png
Liverpool,https://a.espncdn.com/i/teamlogos/soccer/500/364.png
Manchester City,https://a.espncdn.com/i/teamlogos/soccer/500/382.png
Manchester Utd,https://a.espncdn.com/i/teamlogos/soccer/500/360.png
Newcastle Utd,https://a.espncdn.com/i/teamlogos/soccer/500/361.png
Norwich City,https://a.espncdn.com/i/teamlogos/soccer/500/381.png
Sheffield Utd,https://a.espncdn.com/i/teamlogos/soccer/500/398.png
Southampton,https://a.espncdn.com/i/teamlogos/soccer/500/376.png
Tottenham,https://a.espncdn.com/i/teamlogos/soccer/500/367.png
Watford,https://a.espncdn.com/i/teamlogos/soccer/500/395.png
West Ham,https://a.espncdn.com/i/teamlogos/soccer/500/371.png
Wolves,https://a.espncdn.com/i/teamlogos/soccer/500/380.png
