Rk,Player,Age,Pos,Date,Tm,,Opp,,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,BPM
1,Michael Jordan,27-039,G-F,28/03/1990,CHI,@,CLE,W,1,50,23,37,0.622,21,31,0.677,2,6,0.333,21,23,0.913,7,11,18,6,4,1,2,5,69,64.6,30.8
2,Kobe Bryant,27-152,G-F,22/01/2006,LAL,,TOR,W,1,42,28,46,0.609,21,33,0.636,7,13,0.538,18,20,0.9,2,4,6,2,3,1,3,1,81,63.5,33.6
3,Karl Malone,26-187,F,27/01/1990,UTA,,MIL,W,1,33,21,26,0.808,21,26,0.808,0,0,,19,23,0.826,9,9,18,2,3,0,2,2,61,60.2,32.4
4,David Thompson,23-270,G-F,09/04/1978,DEN,@,DET,L,1,43,28,38,0.737,28,38,0.737,,,,17,20,0.85,3,4,7,2,0,1,4,2,73,57,
5,James Harden,28-157,G,30/01/2018,HOU,,ORL,W,1,46,19,30,0.633,14,16,0.875,5,14,0.357,17,18,0.944,2,8,10,11,4,1,5,2,60,56.6,27.6
6,Michael Jordan,25-046,G-F,03/04/1988,CHI,@,DET,W,1,42,21,27,0.778,21,26,0.808,0,1,0,17,19,0.895,2,2,4,6,2,2,1,4,59,54.7,31.6
7,Devin Booker,20-145,G,24/03/2017,PHO,@,BOS,L,1,45,21,40,0.525,17,29,0.586,4,11,0.364,24,26,0.923,2,6,8,6,3,1,5,3,70,54.5,18.5
8,Kevin McHale,27-074,F-C,03/03/1985,BOS,,DET,W,1,41,22,28,0.786,22,28,0.786,0,0,,12,13,0.923,10,6,16,4,1,3,4,3,56,54.3,20.6
9,Anthony Davis,22-347,F-C,21/02/2016,NOP,@,DET,W,1,43,24,34,0.706,22,32,0.688,2,2,1,9,10,0.9,6,14,20,4,0,1,2,1,59,53.9,25.1
10,LeBron James,32-308,F-G,03/11/2017,CLE,@,WAS,W,1,43,23,34,0.676,21,30,0.7,2,4,0.5,9,9,1,5,6,11,7,3,2,3,2,57,53.2,20.1
11,James Harden,30-096,G,30/11/2019,HOU,,ATL,W,1,31,16,24,0.667,8,10,0.8,8,14,0.571,20,23,0.87,0,3,3,8,3,1,5,3,60,52.4,29.1
