Season,Tm,Lg,G,W,L,W/L%,MOV,SOS,SRS,Pace,ORtg,DRtg,eFG%,TOV%,ORB%,FT/FGA,eFG%,TOV%,ORB%,FT/FGA
1989-90,ATL,NBA,82,41,41,0.5,1.02,-0.39,0.64,95.8,113,111.9,0.496,13.5,36.3,0.277,0.509,14,34.5,0.254
1989-90,BOS*,NBA,82,52,30,0.634,3.99,-0.76,3.23,98.2,112,107.9,0.506,13.4,31.5,0.251,0.477,10.8,27.9,0.223
1989-90,CHH,NBA,82,19,63,0.232,-7.82,0.81,-7,98.1,102,109.9,0.47,13.2,26.1,0.207,0.506,14.7,32.5,0.269
1989-90,CHI*,NBA,82,55,27,0.671,3.26,-0.51,2.74,96.7,112.3,109,0.516,13.4,31.9,0.235,0.508,15.2,31.9,0.262
1989-90,CLE*,NBA,82,42,40,0.512,-0.3,-0.31,-0.62,95,106.9,107.2,0.485,13.5,31.5,0.235,0.49,14,32.3,0.202
1989-90,DAL*,NBA,82,47,35,0.573,0.07,0.35,0.42,94.5,107.2,107.2,0.487,13.6,30.3,0.254,0.481,13.4,32.1,0.232
1989-90,DEN*,NBA,82,43,39,0.524,1.41,0.15,1.56,105.4,108,106.7,0.478,11.2,29.1,0.217,0.501,15.2,28.7,0.264
1989-90,DET*,NBA,82,59,23,0.72,6.09,-0.68,5.41,94.4,109.9,103.5,0.49,13.4,34.2,0.245,0.461,13.7,29.7,0.262
1989-90,GSW,NBA,82,37,45,0.451,-3.13,0.59,-2.55,105.9,109.6,112.6,0.501,14.3,26.1,0.321,0.494,13.6,38.5,0.253
1989-90,HOU*,NBA,82,41,41,0.5,1.46,0.24,1.71,101.2,104.8,103.4,0.491,15.5,33.1,0.225,0.475,14.7,30.8,0.228
1989-90,IND*,NBA,82,42,40,0.512,0.16,-0.34,-0.18,97,111.5,111.4,0.518,14.6,29,0.28,0.494,12.6,32.9,0.25
1989-90,LAC,NBA,82,30,52,0.366,-3.39,0.59,-2.8,99.2,104,107.4,0.488,16.3,30.9,0.265,0.489,14.3,32.7,0.241
1989-90,LAL*,NBA,82,63,19,0.768,6.78,-0.04,6.74,96.3,114,107,0.512,13.2,32.8,0.271,0.479,12.8,31.5,0.219
1989-90,MIA,NBA,82,18,64,0.22,-9.72,0.13,-9.59,101,99.3,108.9,0.467,15.9,33.5,0.19,0.499,15.2,32.7,0.292
1989-90,MIL*,NBA,82,44,38,0.537,-0.78,-0.28,-1.06,98,107.3,108.1,0.488,13.9,31.5,0.241,0.492,15.8,34,0.29
1989-90,MIN,NBA,82,22,60,0.268,-4.23,0.63,-3.6,91.1,103.6,108.2,0.451,13.3,34,0.232,0.492,15.5,33.8,0.291
1989-90,NJN,NBA,82,17,65,0.207,-7.87,0.05,-7.82,99.3,100.7,108.6,0.435,13.9,34.5,0.237,0.495,14.9,33,0.272
1989-90,NYK*,NBA,82,45,37,0.549,1.41,-0.63,0.78,98.2,109.4,108,0.501,14.8,34.2,0.25,0.482,13.3,34,0.215
1989-90,ORL,NBA,82,18,64,0.22,-8.91,0.19,-8.73,104.1,105.8,114.3,0.467,13.9,33.7,0.274,0.511,12.1,32.2,0.245
1989-90,PHI*,NBA,82,53,29,0.646,4.99,-0.75,4.23,96.5,113.5,108.4,0.502,12.9,32,0.281,0.495,13.3,31.6,0.223
1989-90,PHO*,NBA,82,54,28,0.659,7.1,-0.01,7.09,100.7,113.1,106.2,0.509,13.3,31.1,0.302,0.478,12.8,31.2,0.209
