Temporada,W/L,ORtg,DRtg,,,,,,,,,,,,,,,,,,
1997-98,0.744,111.9,103.7,,,,,,,,,,,,,,,,,,
1998-99,0.62,107.6,104.3,,,,,,,,,,,,,,,,,,
1999-00,0.817,107.3,98.2,,,,,,,,,,,,,,,,,,
2000-01,0.683,108.4,104.8,,,,,,,,,,,,,,,,,,
2001-02,0.707,109.4,101.7,,,,,,,,,,,,,,,,,,
2002-03,0.61,107.2,104.7,,,,,,,,,,,,,,,,,,
2003-04,0.683,105.5,101.3,,,,,,,,,,,,,,,,,,
2004-05,0.415,108.1,111.4,,,,,,,,,,,,,,,,,,
2005-06,0.549,108.4,105.7,,,,,,,,,,,,,,,,,,
2006-07,0.512,108.6,108.6,,,,,,,,,,,,,,,,,,
2007-08,0.695,113.0,105.5,,,,,,,,,,,,,,,,,,
2008-09,0.793,112.8,104.7,,,,,,,,,,,,,,,,,,
2009-10,0.695,108.8,103.7,,,,,,,,,,,,,,,,,,
2010-11,0.695,111.0,104.3,,,,,,,,,,,,,,,,,,
2011-12,0.621,106.0,104.4,,,,,,,,,,,,,,,,,,
2012-13,0.549,107.8,106.6,,,,,,,,,,,,,,,,,,
2013-14,0.329,104.2,110.6,,,,,,,,,,,,,,,,,,
2014-15,0.256,103.4,110.6,,,,,,,,,,,,,,,,,,
2015-16,0.207,101.6,111.6,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
