,,
Rk,Player,Guaranteed
1,Stephen Curry\curryst01,$129019086
2,Chris Paul\paulch01,$79865296
3,Russell Westbrook\westbru01,$123032000
4,John Wall\walljo01,$122472000
5,James Harden\hardeja01,$122472000
6,LeBron James\jamesle01,$76656423
7,Kevin Durant\duranke01,$117176850
8,Blake Griffin\griffbl01,$70830960
9,Kyle Lowry\lowryky01,$63296296
10,Paul George\georgpa01,$68455968
11,Klay Thompson\thompkl01,$189903600
12,Jimmy Butler\butleji01,$103137300
13,Kemba Walker\walkeke02,$103137300
14,Kawhi Leonard\leonaka01,$67121100
15,Gordon Hayward\haywago01,$32700690
16,Mike Conley\conlemi01,$54938006
17,Kyrie Irving\irvinky01,$136490600
18,Tobias Harris\harrito02,$180000000
19,Khris Middleton\middlkh01,$137103448
20,Paul Millsap\millspa01,$30500000
21,Damian Lillard\lillada01,$257429274
22,Kevin Love\loveke01,$120400000
23,Nikola Vučević\vucevni01,$100000000
24,Al Horford\horfoal01,$97000000
25,DeMar DeRozan\derozde01,$27739975
26,CJ McCollum\mccolcj01,$156911111
27,Joel Embiid\embiijo01,$122242800
28,Andrew Wiggins\wiggian01,$122242800
29,Kristaps Porziņģis\porzikr01,$122236800
30,D'Angelo Russell\russeda01,$117325500
31,Otto Porter\porteot01,$27250576
32,Devin Booker\bookede01,$158050000
33,Karl-Anthony Towns\townska01,$155870000
34,Bradley Beal\bealbr01,$90346924
35,Anthony Davis\davisan02,$27093019
36,Andre Drummond\drumman01,$27093019
37,Hassan Whiteside\whiteha01,$27093018
38,Nikola Jokić\jokicni01,$118104864
39,Jrue Holiday\holidjr01,$52262222
40,LaMarcus Aldridge\aldrila01,$50000000
41,Steven Adams\adamsst01,$53370787
42,Giannis Antetokounmpo\antetgi01,$53370787
43,Marc Gasol\gasolma01,$25595700
44,Nicolas Batum\batumni01,$25565217
45,Chandler Parsons\parsoch01,$25102511
46,Rudy Gobert\goberru01,$51533708
47,Harrison Barnes\barneha02,$85000000
48,Serge Ibaka\ibakase01,$23271604
49,Danilo Gallinari\gallida01,$22615559
50,Victor Oladipo\oladivi01,$42000000
51,Malcolm Brogdon\brogdma01,$85000000
52,Terry Rozier\roziete01,$56700000
53,Aaron Gordon\gordoaa01,$54409091
54,Zach LaVine\lavinza01,$58500000
55,Kent Bazemore\bazemke01,$19269662
56,Tyler Johnson\johnsty01,$19245370
57,Goran Dragić\dragigo01,$19217900
58,Jeff Teague\teaguje01,$19000000
59,Evan Turner\turneev01,$18606557
60,Draymond Green\greendr01,$90619267
61,Tristan Thompson\thomptr01,$18539130
62,Tim Hardaway\hardati02,$18150000
63,Myles Turner\turnemy01,$72000000
64,Julius Randle\randlju01,$40900000
65,Gary Harris\harriga01,$57482143
66,Allen Crabbe\crabbal01,$17818456
67,Derrick Favors\favorde01,$17650000
68,Reggie Jackson\jacksre01,$17286956
69,Andre Iguodala\iguodan01,$32185185
70,Bojan Bogdanović\bogdabo02,$73100000
71,Evan Fournier\fournev01,$17000000
72,Bismack Biyombo\biyombi01,$17000000
73,Clint Capela\capelca01,$72086957
74,Gorgui Dieng\dienggo01,$33516853
75,Ricky Rubio\rubiori01,$51000000
76,Jonas Valančiūnas\valanjo01,$45000000
77,Brandon Knight\knighbr03,$15643750
78,Eric Bledsoe\bledser01,$54525000
79,Kelly Oubre\oubreke01,$30000000
80,Dennis Schröder\schrode01,$31000000
81,Ian Mahinmi\mahinia01,$15450051
82,James Johnson\johnsja01,$15349400
83,Marvin Williams\willima02,$15006250
84,Bobby Portis\portibo01,$15000000
85,Marcus Morris\morrima03,$15000000
86,Danny Green\greenda02,$30000000
87,Cody Zeller\zelleco01,$29887640
88,Eric Gordon\gordoer01,$68714184
89,Mason Plumlee\plumlma01,$14041096
90,Rudy Gay\gayru01,$28000000
91,J.J. Redick\redicjj01,$26500000
92,Jordan Clarkson\clarkjo01,$13437500
93,Dewayne Dedmon\dedmode01,$40000000
94,Solomon Hill\hillso01,$13258781
95,Justise Winslow\winslju01,$26000000
96,Michael Kidd-Gilchrist\kiddgmi01,$13000000
97,Will Barton\bartowi01,$26880000
98,Thaddeus Young\youngth01,$32445000
99,Courtney Lee\leeco01,$12759670
100,Larry Nance\nancela02,$44800000
101,Marcus Smart\smartma01,$40339184
102,Terrence Ross\rosste01,$50000000
103,Miles Plumlee\plumlmi01,$12500000
104,Patty Mills\millspa02,$25714285
105,Patrick Beverley\beverpa01,$40000000
106,Trevor Ariza\arizatr01,$14000000
107,Dion Waiters\waitedi01,$24750000
108,Brook Lopez\lopezbr01,$52000000
109,Jusuf Nurkić\nurkiju01,$28000000
110,Cory Joseph\josepco01,$24600000
111,Joe Ingles\inglejo01,$36818183
112,Kelly Olynyk\olynyke01,$11667885
113,Maurice Harkless\harklma01,$11511234
114,Tony Snell\snellto01,$11392857
115,Robert Covington\covinro01,$36415035
116,Meyers Leonard\leoname01,$11286515
117,T.J. Warren\warretj01,$35250000
118,Andre Roberson\roberan03,$10740741
119,Spencer Dinwiddie\dinwisp01,$22000000
120,Jeremy Lamb\lambje01,$31500000
121,Dwight Powell\poweldw01,$43259375
122,Norman Powell\powelno01,$20982528
123,Josh Richardson\richajo01,$20900000
124,Tomáš Satoranský\satorto01,$25000000
125,DeAndre Jordan\jordade01,$39960716
126,Taj Gibson\gibsota01,$9800000
127,Zion Williamson\willizi01,$20002920
128,Markelle Fultz\fultzma01,$22033897
129,John Henson\hensojo01,$9732396
130,Matthew Dellavedova\dellama01,$9607500
131,Dante Exum\exumda01,$18200000
132,Deandre Ayton\aytonde01,$19581120
133,Delon Wright\wrighde01,$27000000
134,Jerami Grant\grantje01,$9346153
135,Al-Farouq Aminu\aminual01,$29162700
136,George Hill\hillge01,$21000000
137,Kyle Anderson\anderky01,$28515300
138,Fred VanVleet\vanvlfr01,$9000000
139,Ja Morant\moranja01,$17897040
140,C.J. Miles\milescj01,$8730158
141,Lonzo Ball\balllo01,$19723102
142,E'Twaun Moore\mooreet01,$8664928
143,Marvin Bagley\baglema01,$17519760
144,Bogdan Bogdanović\bogdabo01,$8529386
145,Tyus Jones\jonesty01,$23895300
146,P.J. Tucker\tuckepj01,$16318576
147,Cristiano Felício\feliccr01,$15685520
148,Ben Simmons\simmobe01,$177763930
