Rk,Player,PER▼,TS%,BPM
1,Giannis Antetokounmpo,31.6,0.608,11.5
2,James Harden,28.4,0.616,9
3,Anthony Davis,28.2,0.614,8.5
4,Luka Dončić,27.7,0.584,8.4
5,Kawhi Leonard,26.7,0.585,9
6,Karl-Anthony Towns,26.5,0.642,7.8
7,Damian Lillard,26.2,0.619,7.2
8,Joel Embiid,26,0.593,5.2
9,LeBron James,26,0.582,8.7
10,Nikola Jokić,25,0.604,7.6
11,Hassan Whiteside,25,0.641,3.2
12,Trae Young,23.9,0.595,4
13,John Collins,23.5,0.659,3.1
14,Mitchell Robinson,23.5,0.726,3
15,Jimmy Butler,23.4,0.583,5.2
16,Christian Wood,23.2,0.659,3.1
17,Bradley Beal,23.1,0.579,2.9
18,Montrezl Harrell,23.1,0.607,2.9
19,Jonas Valančiūnas,22.3,0.631,2.3
20,Andre Drummond,22,0.553,1
21,Rudy Gobert,21.7,0.7,3.7
22,Chris Paul,21.7,0.609,4.3
23,Nikola Vučević,21.6,0.54,4
24,Russell Westbrook,21.5,0.539,1.8
25,Khris Middleton,21.4,0.619,4.4
26,DeMar DeRozan,21.3,0.597,1.6
27,Derrick Rose,21.1,0.555,2.2
28,Steven Adams,20.8,0.605,3.2
29,Ben Simmons,20.8,0.608,3.9
30,Clint Capela,20.7,0.626,1.5
31,Domantas Sabonis,20.7,0.586,3.2
32,Bam Adebayo,20.6,0.606,3.6
33,Paul George,20.5,0.582,4.5
34,Jarrett Allen,20.3,0.658,2.1
35,De'Aaron Fox,20.3,0.556,1.8
36,Jayson Tatum,20.3,0.562,3.9
37,Kemba Walker,20.2,0.569,4.7
38,DeAndre Jordan,20,0.682,2.8
39,LaMarcus Aldridge,19.8,0.571,1.3
40,Devin Booker,19.8,0.617,1.7
41,Zach LaVine,19.5,0.568,2.5
42,Marquese Chriss,19.4,0.604,0.6
43,Danilo Gallinari,19.4,0.611,3.2
44,Kristaps Porziņģis,19.3,0.54,1.5
45,Brandon Ingram,19.2,0.59,2.4
46,Donovan Mitchell,19.1,0.56,1.9
47,Cody Zeller,18.8,0.576,-0.6
48,Dwight Howard,18.7,0.696,0.5
49,D'Angelo Russell,18.7,0.556,1.9
50,Pascal Siakam,18.7,0.559,2.2
51,Gordon Hayward,18.2,0.593,2.9
52,Daniel Theis,18.2,0.629,2.3
53,Eric Bledsoe,18.1,0.579,2.2
54,Serge Ibaka,18,0.593,0.4
55,Ja Morant,18,0.568,0.4
56,Jordan Clarkson,17.9,0.583,1.6
57,Spencer Dinwiddie,17.9,0.541,1.7
58,Kevin Love,17.9,0.599,2.1
59,Kyle Lowry,17.9,0.589,3.2
60,Malcolm Brogdon,17.8,0.537,1.7
61,Shai Gilgeous-Alexander,17.8,0.566,1.6
62,Jrue Holiday,17.5,0.535,2.3
63,Jamal Murray,17.5,0.559,1.1
64,Julius Randle,17.5,0.538,-0.3
65,CJ McCollum,17.4,0.543,0.9
66,Norman Powell,17.4,0.629,2.3
67,Larry Nance Jr.,17.3,0.608,1.8
68,T.J. Warren,17.2,0.599,0.2
69,Lou Williams,17.2,0.546,0.8
70,Jaylen Brown,17.1,0.589,0.9
71,Dejounte Murray,17.1,0.535,1
72,Tobias Harris,16.8,0.557,0.6
73,Dennis Schröder,16.8,0.573,-0.1
74,Tristan Thompson,16.8,0.54,-1.5
75,Evan Fournier,16.7,0.599,1.2
76,Andrew Wiggins,16.4,0.536,-0.3
77,Buddy Hield,16.3,0.566,1.4
78,Ricky Rubio,16.3,0.531,0.7
79,Collin Sexton,16.3,0.56,-1.8
80,Seth Curry,16.2,0.65,1.4
81,T.J. McConnell,16.2,0.541,0.3
82,Jaren Jackson Jr.,16.1,0.59,0.2
83,Delon Wright,16.1,0.563,2.4
84,Alec Burks,16,0.549,-0.2
85,Elfrid Payton,16,0.47,0
86,Fred VanVleet,16,0.546,2.3
87,Goran Dragić,15.9,0.571,-0.5
88,Derrick White,15.9,0.585,0.9
89,Devonte' Graham,15.8,0.537,0.5
90,Will Barton,15.7,0.549,1.2
91,Bojan Bogdanović,15.7,0.603,0.2
92,Tyus Jones,15.7,0.532,0.6
93,Nemanja Bjelica,15.6,0.597,1.6
94,Al Horford,15.6,0.526,2.2
95,Dāvis Bertāns,15.5,0.628,0.9
96,Wendell Carter Jr.,15.5,0.59,-2.4
97,J.J. Redick,15.1,0.639,0.4
98,Donte DiVincenzo,15,0.57,2.1
99,Tim Hardaway Jr.,15,0.581,0.4
100,Monte Morris,14.9,0.537,0.1
101,Kelly Oubre Jr.,14.9,0.56,-0.6
102,Terry Rozier,14.9,0.553,-0.4
103,Aaron Gordon,14.8,0.511,-0.3
104,Derrick Jones Jr.,14.8,0.609,0.8
105,Marcus Morris,14.8,0.567,0.1
106,Patty Mills,14.7,0.589,-0.1
107,Myles Turner,14.7,0.561,0.2
108,Bobby Portis,14.6,0.53,-1
109,Jeff Teague,14.6,0.557,-1.5
110,Shabazz Napier,14.5,0.555,-0.5
111,Eric Paschall,14.5,0.571,-2.7
112,Markelle Fultz,14.4,0.523,-1.7
113,Rudy Gay,14.4,0.545,-1.5
114,Bogdan Bogdanović,14.3,0.56,0.4
115,Lauri Markkanen,14.3,0.56,-0.5
116,Doug McDermott,14.3,0.626,0
117,D.J. Augustin,14.2,0.548,-1.4
118,Jerami Grant,14.2,0.585,-0.4
119,Terrence Ross,14.2,0.548,-0.4
120,Jeremy Lamb,14.1,0.547,-0.4
121,Brook Lopez,14,0.537,1.8
122,Marcus Smart,14,0.519,1.6
123,Rui Hachimura,13.9,0.543,-3
124,Maxi Kleber,13.8,0.603,0.6
125,Ish Smith,13.8,0.512,-1.4
126,Lonzo Ball,13.7,0.529,1
127,Troy Brown Jr.,13.7,0.534,-1.3
128,Robert Covington,13.6,0.571,0.1
129,Kendrick Nunn,13.5,0.545,-2
130,Tomáš Satoranský,13.5,0.533,-1.2
131,Glenn Robinson III,13.4,0.576,-1.6
132,Harrison Barnes,13.3,0.575,-1.2
133,Dario Šarić,13.3,0.572,-0.9
134,Thaddeus Young,13.3,0.521,-1.1
135,OG Anunoby,13.2,0.598,0.9
136,Mikal Bridges,13,0.623,0.8
137,Duncan Robinson,12.8,0.678,0.3
138,Malik Beasley,12.7,0.546,-2
139,Joe Harris,12.7,0.592,-0.5
140,Justin Holiday,12.7,0.598,1.6
141,Damion Lee,12.7,0.548,-2.3
142,Trey Lyles,12.7,0.557,-1.2
143,Draymond Green,12.6,0.489,-0.2
144,Joe Ingles,12.5,0.588,0.7
145,P.J. Washington,12.4,0.547,-1.6
146,Patrick Beverley,12.3,0.554,2.1
147,Langston Galloway,12.3,0.584,-0.8
148,Carmelo Anthony,12.2,0.517,-3.7
149,Dorian Finney-Smith,12.2,0.597,-0.2
150,Miles Bridges,12.1,0.52,-2.5
151,Jae Crowder,12.1,0.532,-0.6
152,Kris Dunn,12.1,0.51,-0.6
153,Josh Richardson,12.1,0.526,-1.7
154,Bruce Brown,11.9,0.518,-1.2
155,Coby White,11.9,0.506,-2.8
156,Brad Wanamaker,11.8,0.56,-1.3
157,Josh Hart,11.7,0.556,-0.6
158,Aaron Holiday,11.7,0.517,-1.7
159,Furkan Korkmaz,11.7,0.571,-1.5
160,Ben McLemore,11.7,0.622,-0.7
161,Kentavious Caldwell-Pope,11.6,0.592,-0.3
162,Kyle Kuzma,11.6,0.522,-3.5
163,Kevin Huerter,11.5,0.536,-1.6
164,Josh Okogie,11.5,0.553,-2.4
165,Tyler Herro,11.4,0.534,-2.3
166,Danuel House,11.4,0.571,-0.5
167,Bryn Forbes,11.2,0.57,-2.7
168,Sviatoslav Mykhailiuk,11.2,0.578,-1.8
169,Dillon Brooks,11.1,0.508,-4.3
170,Danny Green,11.1,0.564,0.9
171,Trevor Ariza,11,0.593,-0.5
172,RJ Barrett,10.7,0.479,-4.3
173,Cedi Osman,10.7,0.552,-2.6
174,Cory Joseph,10.3,0.513,-1.8
175,Austin Rivers,10.3,0.538,-2.3
176,Garrett Temple,10.3,0.507,-1.1
177,Frank Ntilikina,9.8,0.497,-3.2
178,Maurice Harkless,9.7,0.572,-0.8
179,Gary Harris,9.7,0.519,-2.4
180,Tony Snell,9.7,0.598,-1.8
181,Jarrett Culver,9.6,0.467,-4
182,Royce O'Neale,9.3,0.584,0.8
183,Anfernee Simons,9.3,0.506,-4.4
184,Kent Bazemore,9.2,0.5,-3
185,Landry Shamet,9.2,0.599,-1.6
186,Taurean Prince,9.2,0.497,-3
187,Cam Reddish,9,0.5,-4.2
188,Avery Bradley,8.9,0.537,-2.4
189,P.J. Tucker,8.7,0.58,-1.6
190,De'Andre Hunter,8.6,0.521,-4.7
191,Darius Garland,8.5,0.498,-5.6
192,Wesley Matthews,8.4,0.545,-1.7
193,Jordan Poole,7.2,0.454,-6.6
